timestamp,source_ip,host,query,type,response
2026-08-17T03:37:22Z,10.42.7.23,WS-FIN-07,04-4B5NBAJ6RDFQ.telemetry-cache.invalid,A,NXDOMAIN
2026-08-17T03:18:11Z,10.42.8.31,WS-HR-02,hr-portal.invalid,A,192.0.2.20
2026-08-17T03:37:13Z,10.42.7.23,WS-FIN-07,01-SULCLXXSYZMF.telemetry-cache.invalid,A,NXDOMAIN
2026-08-17T03:37:19Z,10.42.7.23,WS-FIN-07,03-LXQRMK4WTKXD.telemetry-cache.invalid,A,NXDOMAIN
2026-08-17T03:37:16Z,10.42.7.23,WS-FIN-07,02-HZJYF7HKVNQY.telemetry-cache.invalid,A,NXDOMAIN
2026-08-17T03:37:25Z,10.42.7.23,WS-FIN-07,05-KB7ST5XLNKUP.telemetry-cache.invalid,A,NXDOMAIN
2026-08-17T03:37:10Z,10.42.7.23,WS-FIN-07,00-46LTY3VIMADL.telemetry-cache.invalid,A,NXDOMAIN
2026-08-17T03:26:51Z,10.42.1.90,VULN-SCANNER,00-AAAAAAAAAAAA.telemetry-cache.invalid,A,NXDOMAIN
2026-08-17T03:37:15Z,10.42.9.44,WS-SALES-03,cdn.office-suite.invalid,A,192.0.2.44
2026-08-17T03:40:12Z,10.42.7.23,WS-FIN-07,time.service.invalid,AAAA,2001:db8::12
